PYTHON-1,mike,Closed,2009-07-15 14:47:27.000000,2024-06-15 19:25:39.614796+00
PYTHON-10,mike,Closed,2009-06-08 17:28:11.000000,2024-06-15 19:25:39.614796+00
PYTHON-100,mike,Closed,2010-08-31 16:26:05.000000,2024-06-15 19:25:39.614796+00
PYTHON-1000,behackett,Closed,2015-10-06 16:39:03.000000,2024-06-15 19:25:39.614796+00
PYTHON-1001,behackett,Closed,2015-10-06 17:10:27.000000,2024-06-15 19:25:39.614796+00
PYTHON-1002,behackett,Closed,2015-10-13 16:34:31.000000,2024-06-15 19:25:39.614796+00
PYTHON-1003,jesse,In Progress,2015-10-16 20:26:56.000000,2015-11-03 00:42:21+00
PYTHON-1003,jesse,In Progress,2015-10-16 20:26:56.000000,2015-10-16 20:27:00+00
PYTHON-1003,jesse,In Progress,2015-10-16 20:26:56.000000,2015-10-16 21:06:27+00
PYTHON-1003,jesse,In Code Review,2015-10-16 20:27:00.000000,2015-11-03 00:42:21+00
PYTHON-1003,jesse,In Code Review,2015-10-16 20:27:00.000000,2015-10-16 21:06:27+00
PYTHON-1003,jesse,Resolved,2015-10-16 21:06:27.000000,2015-11-03 00:42:21+00
PYTHON-1003,behackett,Closed,2015-11-03 00:42:21.000000,2024-06-15 19:25:39.614796+00
PYTHON-1005,behackett,Closed,2015-11-01 17:06:01.000000,2024-06-15 19:25:39.614796+00
PYTHON-1006,behackett,In Progress,2015-10-27 15:57:59.000000,2015-10-27 15:58:24+00
PYTHON-1006,behackett,In Progress,2015-10-27 15:57:59.000000,2015-12-08 01:02:07+00
PYTHON-1006,behackett,Resolved,2015-10-27 15:58:24.000000,2015-12-08 01:02:07+00
PYTHON-1006,behackett,Closed,2015-12-08 01:02:07.000000,2024-06-15 19:25:39.614796+00
PYTHON-1008,behackett,Closed,2016-03-02 16:57:23.000000,2024-06-15 19:25:39.614796+00
PYTHON-1009,behackett,In Progress,2015-11-19 03:38:58.000000,2015-11-19 03:39:06+00
PYTHON-1009,behackett,In Progress,2015-11-19 03:38:58.000000,2015-12-08 01:02:07+00
PYTHON-1009,behackett,Resolved,2015-11-19 03:39:06.000000,2015-12-08 01:02:07+00
PYTHON-1009,behackett,Closed,2015-12-08 01:02:07.000000,2024-06-15 19:25:39.614796+00
PYTHON-101,mike,Closed,2010-04-05 17:37:21.000000,2024-06-15 19:25:39.614796+00
PYTHON-1010,anna.herlihy@10gen.com,In Progress,2015-11-10 19:01:18.000000,2015-11-10 19:37:37+00
PYTHON-1010,anna.herlihy@10gen.com,In Progress,2015-11-10 19:01:18.000000,2015-11-13 16:00:05+00
